title|description|company|salaryFrom|salaryTo|currency|offerURL|technologies|addedAt
Senior Frontend Developer with JavaScript|We currently have a vacancy for a Front-End Developer fluent in English to offer their services as an expert who will be based in Brussels, Belgium. The work will be carried out either on the company’s premises or on-site at customer premises. The successful candidate will be integrated and closely cooperate with a major client’s IT team, on-site.|Shuter Smith International|28 140|28 140|PLN|https://nofluffjobs.com/pl/job/senior-frontend-developer-with-javascript-shuter-smith-international-brussels|Degree Web Services HTML CSS JavaScript Jira Confluence jQuery Angielski (C1) SQL|Wed Sep 20 2023
Remote TypeScript/JavaScript Developer - ASAP|Jeśli interesujesz się zastosowaniem najnowocześniejszych rozwiązań na potrzeby rynku kapitałowego, albo chciałbyś zdobyć ciekawe doświadczenie, dołącz do naszego zespołu. Tworzymy nowoczesną Platformę Transakcyjną, praca z nami to gwarancja dużych wyzwań i ciekawych doświadczeń w wyjątkowym projekcie. Powierzymy Ci prace programistyczne jako programista TypeScript, w związku z implementacją modelu koncepcyjnego i prototypu oprogramowania systemu transakcyjnego. Otrzymasz zadania mające na celu dostarczanie wyników prac, tworzonych na podstawie dostarczanych specyfikacji: modelu zintegrowanej nowoczesnej Platformy Transakcyjnej. Zgodnie z założeniami, wszystko to powinno skutkować zaprojektowaniem i realizacją prac w oparciu o stworzony opis ogólny modelu analitycznego rozwiązania. Proces rekrutacji:  Zadanie rekruatcyjne Rozmowa teczniczna (1h) Decyzja  rozwiń|Giełda Papierów Wartościowych S.A.|20 160|30 240|PLN|https://nofluffjobs.com/pl/job/remote-typescript-javascript-developer-asap-gielda-papierow-wartosciowych|TypeScript JavaScript Docker Git RxJS Node.js WebSocket CSS SCSS Sass Polski (C2) Angielski (B1) Linux Event Sourcing|Fri Sep 22 2023
JavaScript Engineer / Team Leader|We are a team developing popular Swiss magazines such as Beobachter, Guider, Handelszeitung, Schweizer-Illustrierte, cash.ch and Gault & Millau. We make the digital transformation of the title with over 100 years of history cooperating on daily basis with our colleagues from Switzerland. Our stack (Node.js, Nest.js, React, TypeScript, GraphQL, AWS, SSR, PWA) is constantly updated to the latest available versions. We work closely with a team of graphic designers to ensure our solutions look good. By joining us you have the opportunity to meet other enthusiasts, improve skills in innovative technologies and programming techniques. We offer a chance to work and improve in the international environment.|Ringier Axel Springer Tech|18 100|25 200|PLN|https://nofluffjobs.com/pl/job/javascript-engineer-team-leader-ringier-axel-springer-tech-warszawa|HTML CSS JavaScript TypeScript React Node.js Microservices Angielski (B2) Polski (B2) AWS|Thu Sep 21 2023
Backend/full-stack JavaScript/TypeScript fejlesztő|Foglalkoztatási forma: munkaviszony Munkaidő: teljes munkaidő, rugalmas munkavégzés Szenioritási szint: medior, szenior Kiválasztási folyamat A) 1. HR interjú (60 perc), 2. Próbafeladat (mini projekt), 3. Szakmai interjú (45-60 perc) B) 1. HR interjú (60 perc), 2. Live coding challenge & szakmai interjú (90 perc) Tech stack  JavaScript/TypeScript, Node.js, React/Redux, MariaDB, Redis, Kafka, REST API, Jenkins, SonarQube, Docker, Grafana, Koa, Next.js, Webpack, Storybook, Federation module, StatsD, Prometheus Atlassian (Jira, Bitbucket, Confluence) és Jetbrains szotftverkörnyezet  Mit kínálunk?  Szakmai fejlődési lehetőségek egy nemzetközi, technológia- és emberközpontú vállalatban Modern technológiák és toolok használata Változatos projektek cégen belüli könnyű átjárással Alacsony stressz-szintű környezet és tervezhető munkafolyamatok Nagyvállalati stabilitás és részben startup-szerű rugalmas működés ötvözete Lehetőség home office-ra vagy távmunkára, rugalmas munkaidővel (nincs kötelező törzsidő) Kis létszámú csapatok, ahol a csapat minden tagja aktívan részt vesz a döntéshozatalban Szakmai in-house workshopok, tréningek és egyéni angol tanfolyam anyanyelvi tanárokkal All You Can Move sportkártya vagy Medicover privát egészségbiztosítás, havi csapatépítő keret és negyedéves céges rendezvények Választható munkaeszközök (Macbook Pro, Dell és egyéb home office eszközök) Bízunk egymásban, elvárjuk az önállóságot, viszont nem mikromenedzselünk  rozwiń|ICF Tech Hungary Kft.|14 386|26 375|PLN|https://nofluffjobs.com/pl/job/backend-full-stack-javascript-typescript-fejleszto-icf-tech-hungary-kft--remote|Atlassian Git Clean Code JavaScript REST API Angielski (B2) Węgierski Docker CI/CD MySQL Redis PostgreSQL Elasticsearch RabbitMQ TypeScript React|Wed Sep 20 2023
React / JavaScript (Senior) Developer|O projekcieCześć! Masz solidne doświadczenie w Reakcie i chciałbyś/chciałabyś tworzyć innowacyjne 💡 produkty, wykorzystujące blockchain i mocno zorientowane na aplikacje społecznościowe? 📱 Dołącz do zespołu indaHash! 🙌indaHash to platforma, w której skład wchodzi aplikacja mobilna dla twórców 📱 oraz aplikacje webowe dla klientów. Platforma jest nieustannie poszerzana o nowe funkcjonalności i integracje. Wymagania dla nowych rozwiązań są zbierane przez zespół Product Design 🎨, z których powstaje dokumentacja w formie opisu tekstowego 📓 i klikalnych makiet 🖼 w Figmie. Po akceptacji biznesowej i konsultacjach technicznych, zadanie trafia do backlogu developerskiego, a następnie jest kolejkowane 📅 na określony sprint. Zrealizowane zadania przechodzą code review 👓, a następnie trafiają na środowisko testowe. Po pozytywnym odbiorze, feature branch jest wydawany na środowisko przedprodukcyjne, gdzie szykujemy pełną paczkę feature’ów pod deployment produkcyjny ✅Pracujemy w tygodniowych sprintach, starając się co 7 dni dostarczyć wartościowy przyrost produktowy. W zależności od stopnia złożoności, nad zadaniem pracuje od 1 do 4 developerów i 1 lub 2 testerów. Jesteśmy zwolennikami dzielenia zakresów na mniejsze, kompaktowe iteracje, dzięki czemu proces QA jest łatwy zorganizowania.Nasze wymaganiadoświadczenie w Reakcie i JS pozwalającego na zrozumienie i samodzielną realizację wymaganych funkcjonalnościdobre umiejętności komunikacyjne 💬 z osobami nietechnicznymi (z technicznymi w sumie też :))płynne poruszanie się w technologiach/narzędziach 💻 takich jak JavaScript, ReactJS, SCSS, WebStorm/VSC, Git, Postman/Insomniabardzo dobre umiejętności planowania 📅 i organizacji swojego czasuniezależności w programowaniu i wybieraniu rozwiązań technicznychoptymizm 😺Mile widzianebackground team leaderskidoświadczenie w pracy w Agile’owym zespoleznajomość konwencji BEMrozumienie blockchaina Ethereumdoświadczenie z Dockerem i Linuksem (Ubuntu)doświadczenie z AsanąTwój zakres obowiązkówrozwijanie naszej platformy indaHash, wykorzystując takie technologie jak React, Redux, JavaScript, ES6, SCSS, Docker, WebSockets, serverless 👨‍💻 i wiele innychtworzenie aplikacji ⭐ indaStars ⭐ (https://indastars.com), opartej na blockchainie, umożliwiającej tworzenie i sprzedawanie NFTrozwijanie aplikacji mobilnej dla ponad miliona twórców 🤯 zarejestrowanych na platformietworzenie funkcjonalności zgodnie ze ściśle określonymi wymaganiami biznesowymi 🧑‍💼podejmowanie optymalnych decyzji odnośnie realizowanego zakresu funkcjonalności ✔️pilnowanie wysokiej jakości kodu źródłowego 📝|indaHash|Not specified|Not specified|Not specified|https://theprotocol.it/szczegoly/praca/react---javascript-senior-developer-warszawa-pie-kna-19,oferta,5b4c0000-6511-e289-ad3a-08dbb45ed306?searchId=5f607f60-591c-11ee-8f0f-0500a89e3b7e&s=5358332323|JavaScript React.js Git|Not specified.
JavaScript Developer|About the projectThe JavaScript team develops two parts of an integrated solution, used for content distribution to large format displays (LFDs). One part is working on a content creator web tool and other part develops web framework with components, which can be used on TVs and LFDs. Both applications are JavaScript projects with appropriate technology stack.The team consists of passionate engineers, professionals in their field of competence. Development team is responsible for real-life projects, released on the market and for creating new software concepts, which gives opportunity to proactively improve own knowledge, skills and experience.Our requirementsBachelor’s degree in computer science, electronics or other technical related field4+ years of software development experienceDeep knowledge of JavaScript fundamentals and fluent coding skillsGood understanding of object-oriented and functional programmingExperience with top JS frameworks and libraries: Angular, ReactOptionalBackground in a functional programming language, like Haskell or LispExperience with TypescriptKnowledge of communication with backend, OSI modelYour responsibilitiesYou will work as a JavaScript developer, providing results with best possible quality in expected timeAs a member of a multi-national team, you will work on go-to-market solutionsWe expect from you self-development and will give you the possibility to elevate your software engineering skills|Samsung R&D Institute Poland|Not specified|Not specified|Not specified|https://theprotocol.it/szczegoly/praca/javascript-developer-warszawa-plac-europejski-1,oferta,a97b0000-bb74-1e7d-85a9-08dbaec0d398?searchId=5f607f60-591c-11ee-8f0f-0500a89e3b7e&s=5358332323|JavaScript Angular React TypeScript|Not specified.
Frontend Developer (JavaScript//TypeScript)|About the projectWe are looking for an awesome Frontend Developer to join our remote games development team. 4ThePlayer.com is an up-and-coming creator of online gambling games (slots, table games, and others). The company was founded in 2018 by two luminaries of the gambling gaming industry, Chris Ash and Andrew Porter, who have a combined 40 years of gaming industry experience. 4ThePlayer has been tipped for significant success, shortlisted for industry awards (EGR Awards), and rapidly increasing our reputation for a forward-thinking approach to game design. We are on track for exponential growth and to become an industry leader.Our requirementsMinimum of 2 years of experience as a Frontend DeveloperExperience in JavaScript/TypeScript development, with a deep understanding of core concepts and best practicesSolid understanding of object-oriented programming principles and design patternsExperience in working with RESTful APIs and microservices architectureBachelor's degree in Computer Science, Software Engineering, or a related fieldKnowledge of version control systems (GIT, SVN)OptionalExperience working in the online gambling or gaming industryExperience in pixi.jsStrong problem-solving skills and ability to analyze and optimize code for performanceYour responsibilitiesCreating games using high-quality code in JavaScript/TypeScriptImplement animations, effects, and particle systemsCollaborate with the front-end development team to integrate server-side logic with user-facing elementsIdentify and resolve development problemsStay updated with emerging technologies and industry trends to continually improve the development processCollaborate with cross-functional teams to define project requirements and deliver solutions within deadlinesEnsure code quality, testability, and maintainability through proper documentation and best practices|4 The Player|9000|14 000|zł|https://theprotocol.it/szczegoly/praca/frontend-developer-javascript--typescript-krako-w,oferta,180f0000-63fb-ca96-e9e8-08dbb51acf3d?searchId=5f607f60-591c-11ee-8f0f-0500a89e3b7e&s=5358332323|JavaScript TypeScript REST Git Webpack Node.js Pixi.js Windows macOS Linux|Not specified.
Java Developer (Spring, Maven, JavaScript)|O projekcieRozwój kanałów internetowych dla finlandzkiego klienta z branży telekomunikacyjnej.Język komunikacji w projekcie: polski/angielskiNasze wymaganiaMinimum 5 lat doświadczenia z językiem JavaBardzo dobra znajomość Springa, MavenaPraktyczna znajomość JavaScriptBardzo dobra znajomość języka angielskiego B2/C1Twój zakres obowiązkówBudowa oraz rozwój nowych funkcjonalnościWspółpraca z międzynarodowym Zespołem DeveloperskimStosowanie prawidłowych standardów i dobrych praktyk kodowania|JellyTech|21 000|26 900|zł|https://theprotocol.it/szczegoly/praca/java-developer-spring-maven-javascript-warszawa-encyklopedyczna-2a,oferta,b5200000-7c1d-82e0-2157-08dba4edb933?searchId=5f607f60-591c-11ee-8f0f-0500a89e3b7e&s=5358332323|Java Spring Framework Maven JavaScript|Not specified.
